origins,destinations,durations,departure_times,distance
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 25 mins,1611923400,18.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 0 mins,1611923400,26.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 57 mins,1611923400,24.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 45 mins,1611923400,23.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 17 mins,1611923400,14.0 mi
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 33 mins,1611923400,19.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 5 mins,1611923400,7.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",48 mins,1611923400,3.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1611923400,0.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Astoria, NY 11102, USA",54 mins,1611923400,12.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1611923400,2.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",46 mins,1611923400,3.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",58 mins,1611923400,5.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 17 mins,1611923400,7.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 21 mins,1611923400,14.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 8 mins,1611923400,9.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 9 mins,1611925200,23.5 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 4 mins,1611925200,21.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 50 mins,1611925200,22.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 20 mins,1611925200,13.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 39 mins,1611925200,20.1 mi
"108-35 167th St, Jamaica, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 51 mins,1611925200,23.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 41 mins,1611925200,22.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 37 mins,1611925200,19.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 9 mins,1611925200,12.0 mi
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 24 mins,1611925200,18.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 5 mins,1611925200,25.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 58 mins,1611925200,26.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 35 mins,1611925200,23.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 21 mins,1611925200,14.0 mi
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 17 mins,1611925200,22.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 9 mins,1611925200,7.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",46 mins,1611925200,3.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",9 mins,1611925200,0.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Astoria, NY 11102, USA",53 mins,1611925200,12.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1611925200,4.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",46 mins,1611925200,3.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",55 mins,1611925200,5.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 14 mins,1611925200,7.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 22 mins,1611925200,14.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 4 mins,1611925200,7.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 15 mins,1611927000,26.0 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 14 mins,1611927000,23.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 42 mins,1611927000,19.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 36 mins,1611927000,17.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 36 mins,1611927000,19.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 53 mins,1611927000,23.0 mi
"108-35 167th St, Jamaica, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 47 mins,1611927000,21.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 27 mins,1611927000,19.8 mi
"108-35 167th St, Jamaica, NY 11433, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 8 mins,1611927000,11.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 18 mins,1611927000,17.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 5 mins,1611927000,25.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 56 mins,1611927000,22.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 47 mins,1611927000,21.3 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 15 mins,1611927000,14.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 31 mins,1611927000,21.2 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 1 min,1611927000,7.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",43 mins,1611927000,3.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1611927000,0.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Astoria, NY 11102, USA",53 mins,1611927000,12.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1611927000,2.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",44 mins,1611927000,3.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",52 mins,1611927000,5.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 10 mins,1611927000,7.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 25 mins,1611927000,14.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",58 mins,1611927000,7.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 10 mins,1611928800,26.0 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 59 mins,1611928800,22.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 39 mins,1611928800,20.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 37 mins,1611928800,18.5 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 37 mins,1611928800,19.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 51 mins,1611928800,23.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 38 mins,1611928800,22.0 mi
"108-35 167th St, Jamaica, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 24 mins,1611928800,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 8 mins,1611928800,12.0 mi
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 20 mins,1611928800,21.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 3 mins,1611928800,24.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 58 mins,1611928800,22.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 47 mins,1611928800,21.3 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 15 mins,1611928800,14.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 28 mins,1611928800,19.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 4 mins,1611928800,7.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",42 mins,1611928800,3.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1611928800,0.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Astoria, NY 11102, USA",58 mins,1611928800,13.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1611928800,2.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",44 mins,1611928800,3.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",57 mins,1611928800,5.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 19 mins,1611928800,7.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 22 mins,1611928800,14.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 2 mins,1611928800,7.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 8 mins,1611930600,25.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 4 mins,1611930600,23.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 40 mins,1611930600,20.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 29 mins,1611930600,17.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 34 mins,1611930600,19.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 54 mins,1611930600,23.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 36 mins,1611930600,22.2 mi
"108-35 167th St, Jamaica, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 26 mins,1611930600,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 2 mins,1611930600,12.8 mi
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 16 mins,1611930600,18.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 8 mins,1611930600,25.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 4 mins,1611930600,22.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 51 mins,1611930600,23.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 20 mins,1611930600,14.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 32 mins,1611930600,19.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 3 mins,1611930600,7.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",40 mins,1611930600,3.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1611930600,0.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Astoria, NY 11102, USA",52 mins,1611930600,12.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1611930600,2.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",51 mins,1611930600,4.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",57 mins,1611930600,5.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 19 mins,1611930600,7.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 18 mins,1611930600,14.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 1 min,1611930600,9.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 20 mins,1611932400,25.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 13 mins,1611932400,23.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 40 mins,1611932400,20.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 27 mins,1611932400,16.5 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 26 mins,1611932400,18.2 mi
"108-35 167th St, Jamaica, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 56 mins,1611932400,23.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 48 mins,1611932400,20.2 mi
"108-35 167th St, Jamaica, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 28 mins,1611932400,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 4 mins,1611932400,12.0 mi
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 20 mins,1611932400,18.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 8 mins,1611932400,25.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 56 mins,1611932400,22.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 47 mins,1611932400,21.3 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 12 mins,1611932400,14.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 28 mins,1611932400,19.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 5 mins,1611932400,7.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",43 mins,1611932400,3.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1611932400,0.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Astoria, NY 11102, USA",54 mins,1611932400,12.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",30 mins,1611932400,2.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",46 mins,1611932400,3.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",59 mins,1611932400,5.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 19 mins,1611932400,7.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 15 mins,1611932400,10.9 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 1 min,1611932400,9.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 13 mins,1611934200,25.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 4 mins,1611934200,23.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 44 mins,1611934200,20.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 30 mins,1611934200,17.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 26 mins,1611934200,18.0 mi
"108-35 167th St, Jamaica, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 56 mins,1611934200,23.1 mi
"108-35 167th St, Jamaica, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 37 mins,1611934200,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 29 mins,1611934200,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 2 mins,1611934200,11.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 18 mins,1611934200,18.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 12 mins,1611934200,25.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 0 mins,1611934200,24.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 49 mins,1611934200,23.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 20 mins,1611934200,14.2 mi
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 32 mins,1611934200,19.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 0 mins,1611934200,7.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",43 mins,1611934200,4.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1611934200,0.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Astoria, NY 11102, USA",54 mins,1611934200,12.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",34 mins,1611934200,3.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",50 mins,1611934200,3.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",57 mins,1611934200,5.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 19 mins,1611934200,7.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 15 mins,1611934200,14.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",57 mins,1611934200,9.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 12 mins,1611936000,25.0 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 11 mins,1611936000,23.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 38 mins,1611936000,20.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 36 mins,1611936000,18.5 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 33 mins,1611936000,18.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 48 mins,1611936000,23.0 mi
"108-35 167th St, Jamaica, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 45 mins,1611936000,21.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 28 mins,1611936000,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 5 mins,1611936000,11.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 19 mins,1611936000,18.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 7 mins,1611936000,24.6 mi
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 3 mins,1611936000,22.3 mi
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 39 mins,1611936000,22.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Astoria, NY 11102, USA",1 hour 15 mins,1611936000,14.1 mi
